#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aaargh;Aaargh;Aaargh;Aaargh;;Aaargh;;;;;;;;;x
b_aaargh_adj;Aaarghian;;aaargher;;;;;;;;;;;x
b_aakadaan;Aakadaan;Aakadaan;Aakadaan;;Aakadaan;;;;;;;;;x
b_aakadaan_adj;Aakadaanian;;aakadaaner;;;;;;;;;;;x
b_aarnau;Aarnau;Aarnau;Aarnau;;Aarnau;;;;;;;;;x
b_aarnau_adj;Aarnian;;aarner;;;;;;;;;;;x
b_aarvik;Aarvik;Aarvik;Aarvik;;Aarvik;;;;;;;;;x
b_aarvik_adj;Aarvikian;;aarviker;;;;;;;;;;;x
b_abak;Abak;Abak;Abak;;Abak;;;;;;;;;x
b_abak_adj;Abakian;;abaker;;;;;;;;;;;x
b_abani;Abani;Abani;Abani;;Abani;;;;;;;;;x
b_abani_adj;Abanian;;abaner;;;;;;;;;;;x
b_abasco;Abasco;Abasco;Abasco;;Abasco;;;;;;;;;x
b_abasco_adj;Abascian;;abascer;;;;;;;;;;;x
b_abazzo;Abazzo;Abazzo;Abazzo;;Abazzo;;;;;;;;;x
b_abazzo_adj;Abazzian;;abazzer;;;;;;;;;;;x
b_abbaie_blanche;Abbaie Blanche;Abbaie Blanche;Abbaie Blanche;;Abbaie Blanche;;;;;;;;;x
b_abbaie_blanche_adj;Abbaie Blanchean;;Abbaie Blancher;;;;;;;;;;;x
b_abbranga;Abbranga;Abbranga;Abbranga;;Abbranga;;;;;;;;;x
b_abbranga_adj;Abbrangan;;abbranger;;;;;;;;;;;x
b_abeobath;Abeobath;Abeobath;Abeobath;;Abeobath;;;;;;;;;x
b_abeobath_adj;Abeobathian;;abeobather;;;;;;;;;;;x
b_abilkubi;Abilkubi;Abilkubi;Abilkubi;;Abilkubi;;;;;;;;;x
b_abilkubi_adj;Abilkubian;;abilkuber;;;;;;;;;;;x
b_abirenne;Abirenne;Abirenne;Abirenne;;Abirenne;;;;;;;;;x
b_abirenne_adj;Abirennean;;abirenner;;;;;;;;;;;x
b_abix;Abix;Abix;Abix;;Abix;;;;;;;;;x
b_abix_adj;Abixian;;abixer;;;;;;;;;;;x
b_abogienvik;Abogienvik;Abogienvik;Abogienvik;;Abogienvik;;;;;;;;;x
b_abogienvik_adj;Abogienvikian;;abogienviker;;;;;;;;;;;x
b_abraqol;Abraqol;Abraqol;Abraqol;;Abraqol;;;;;;;;;x
b_abraqol_adj;Abraqolian;;abraqoler;;;;;;;;;;;x
b_abrasso;Abrasso;Abrasso;Abrasso;;Abrasso;;;;;;;;;x
b_abrasso_adj;Abrassian;;abrasser;;;;;;;;;;;x
b_abrefaer;Abrefaer;Abrefaer;Abrefaer;;Abrefaer;;;;;;;;;x
b_abrefaer_adj;Abrefaerian;;abrefaerer;;;;;;;;;;;x
b_abrige;Abrige;Abrige;Abrige;;Abrige;;;;;;;;;x
