#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_abshaumwald;Abshaumwald;Abshaumwald;Abshaumwald;;Abshaumwald;;;;;;;;;x
d_abshaumwald_adj;Abshaumwaldian;;abshaumwalder;;;;;;;;;;;x
d_achteraver;Achteraver;Achteraver;Achteraver;;Achteraver;;;;;;;;;x
d_achteraver_adj;Achteraverian;;achteraverer;;;;;;;;;;;x
d_aix;Aix;Aix;Aix;;Aix;;;;;;;;;x
d_aix_adj;Aixian;;aixer;;;;;;;;;;;x
d_aldente;Aldente;Aldente;Aldente;;Aldente;;;;;;;;;x
d_aldente_adj;Aldentean;;aldenter;;;;;;;;;;;x
d_alemoges;Alemôges;Alemôges;Alemôges;;Alemôges;;;;;;;;;x
d_alemoges_adj;Alemôgesian;;alemôgeser;;;;;;;;;;;x
d_altaya;Altaya;Altaya;Altaya;;Altaya;;;;;;;;;x
d_altaya_adj;Altayan;;altaer;;;;;;;;;;;x
d_altdorf;Altdorf;Altdorf;Altdorf;;Altdorf;;;;;;;;;x
d_altdorf_adj;Altdorfian;;altdorfer;;;;;;;;;;;x
d_ancon;Ançon;Ançon;Ançon;;Ançon;;;;;;;;;x
d_ancon_adj;Ançonian;;ançoner;;;;;;;;;;;x
d_anksary;Anksary;Anksary;Anksary;;Anksary;;;;;;;;;x
d_anksary_adj;Anksarian;;anksarer;;;;;;;;;;;x
d_aponnia;Aponnia;Aponnia;Aponnia;;Aponnia;;;;;;;;;x
d_aponnia_adj;Aponnian;;aponner;;;;;;;;;;;x
d_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
d_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
d_arali;Arali;Arali;Arali;;Arali;;;;;;;;;x
d_arali_adj;Aralian;;araler;;;;;;;;;;;x
d_arden;Arden;Arden;Arden;;Arden;;;;;;;;;x
d_arden_adj;Ardenian;;ardener;;;;;;;;;;;x
d_armagne;Armagne;Armagne;Armagne;;Armagne;;;;;;;;;x
d_armagne_adj;Armagnean;;armagner;;;;;;;;;;;x
d_armorique;Armorique;Armorique;Armorique;;Armorique;;;;;;;;;x
d_armorique_adj;Armoriquean;;armoriqer;;;;;;;;;;;x
d_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
d_artois_adj;Artoisian;;artoiser;;;;;;;;;;;x
d_astiano;Astiano;Astiano;Astiano;;Astiano;;;;;;;;;x
d_astiano_adj;Astianian;;astianer;;;;;;;;;;;x
d_auld_styrland;Auld Styrland;Auld Styrland;Auld Styrland;;Auld Styrland;;;;;;;;;x
d_auld_styrland_adj;Auld Styrlandian;;Auld Styrlander;;;;;;;;;;;x
d_ausanne;Ausanne;Ausanne;Ausanne;;Ausanne;;;;;;;;;x
d_ausanne_adj;Ausannean;;ausanner;;;;;;;;;;;x
d_aver_march;Aver March;Aver March;Aver March;;Aver March;;;;;;;;;x
d_aver_march_adj;Aver Marchian;;Aver Marcher;;;;;;;;;;;x
d_averheim;Averheim;Averheim;Averheim;;Averheim;;;;;;;;;x
d_averheim_adj;Averheimian;;averheimer;;;;;;;;;;;x
d_azgarazar;Azgarazar;Azgarazar;Azgarazar;;Azgarazar;;;;;;;;;x
d_azgarazar_adj;Azgarazarian;;azgarazarer;;;;;;;;;;;x
d_azgorh;Azgorh;Azgorh;Azgorh;;Azgorh;;;;;;;;;x
d_azgorh_adj;Azgorhian;;azgorher;;;;;;;;;;;x
d_baartak;Baartak;Baartak;Baartak;;Baartak;;;;;;;;;x
d_baartak_adj;Baartakian;;baartaker;;;;;;;;;;;x
d_barak_varr;Barak Varr;Barak Varr;Barak Varr;;Barak Varr;;;;;;;;;x
d_barak_varr_adj;Barak Varrian;;Barak Varrer;;;;;;;;;;;x
d_barduila;Barduila;Barduila;Barduila;;Barduila;;;;;;;;;x
d_barduila_adj;Barduilan;;barduiler;;;;;;;;;;;x
