#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_ankor_naggrund;Ankor-Naggrund;Ankor-Naggrund;Ankor-Naggrund;;Ankor-Naggrund;;;;;;;;;x
e_ankor_naggrund_adj;Ankor-Naggrundian;;ankor-naggrunder;;;;;;;;;;;x
e_araby;Araby;Araby;Araby;;Araby;;;;;;;;;x
e_araby_adj;Arabian;;araber;;;;;;;;;;;x
e_bretonnia;Bretonnia;Bretonnia;Bretonnia;;Bretonnia;;;;;;;;;x
e_bretonnia_adj;Bretonnian;;bretonner;;;;;;;;;;;x
e_chaos_wastes;Chaos Wastes;Chaos Wastes;Chaos Wastes;;Chaos Wastes;;;;;;;;;x
e_chaos_wastes_adj;Chaos Wastesian;;Chaos Wasteser;;;;;;;;;;;x
e_drak_ankor;Drak Ankor;Drak Ankor;Drak Ankor;;Drak Ankor;;;;;;;;;x
e_drak_ankor_adj;Drak Ankorian;;Drak Ankorer;;;;;;;;;;;x
e_estalia;Estalia;Estalia;Estalia;;Estalia;;;;;;;;;x
e_estalia_adj;Estalian;;estaler;;;;;;;;;;;x
e_karak_ankor;Karak Ankor;Karak Ankor;Karak Ankor;;Karak Ankor;;;;;;;;;x
e_karak_ankor_adj;Karak Ankorian;;Karak Ankorer;;;;;;;;;;;x
e_kislev;Kislev;Kislev;Kislev;;Kislev;;;;;;;;;x
e_kislev_adj;Kislevian;;kislever;;;;;;;;;;;x
e_norsca;Norsca;Norsca;Norsca;;Norsca;;;;;;;;;x
e_norsca_adj;Norscan;;norscer;;;;;;;;;;;x
e_the_empire;The Empire;The Empire;The Empire;;The Empire;;;;;;;;;x
e_the_empire_adj;The Empirean;;The Empirer;;;;;;;;;;;x
e_tilea;Tilea;Tilea;Tilea;;Tilea;;;;;;;;;x
e_tilea_adj;Tilean;;tiler;;;;;;;;;;;x
