#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_adriata;Adriata;Adriata;Adriata;;Adriata;;;;;;;;;x
k_adriata_adj;Adriatan;;adriater;;;;;;;;;;;x
k_aegos;Aegos;Aegos;Aegos;;Aegos;;;;;;;;;x
k_aegos_adj;Aegosian;;aegoser;;;;;;;;;;;x
k_ankor_dharkwyr;Ankor-Dharkwyr;Ankor-Dharkwyr;Ankor-Dharkwyr;;Ankor-Dharkwyr;;;;;;;;;x
k_ankor_dharkwyr_adj;Ankor-Dharkwyrian;;ankor-dharkwyrer;;;;;;;;;;;x
k_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
k_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
k_araz;Araz;Araz;Araz;;Araz;;;;;;;;;x
k_araz_adj;Arazian;;arazer;;;;;;;;;;;x
k_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
k_artois_adj;Artoisian;;artoiser;;;;;;;;;;;x
k_ashenfels;Ashenfels;Ashenfels;Ashenfels;;Ashenfels;;;;;;;;;x
k_ashenfels_adj;Ashenfelsian;;ashenfelser;;;;;;;;;;;x
k_astarios;Astarios;Astarios;Astarios;;Astarios;;;;;;;;;x
k_astarios_adj;Astariosian;;astarioser;;;;;;;;;;;x
k_averland;Averland;Averland;Averland;;Averland;;;;;;;;;x
k_averland_adj;Averlandian;;averlander;;;;;;;;;;;x
k_azgorh;Azgorh;Azgorh;Azgorh;;Azgorh;;;;;;;;;x
k_azgorh_adj;Azgorhian;;azgorher;;;;;;;;;;;x
k_azril_ankor;Azril-Ankor;Azril-Ankor;Azril-Ankor;;Azril-Ankor;;;;;;;;;x
k_azril_ankor_adj;Azril-Ankorian;;azril-ankorer;;;;;;;;;;;x
k_aztrakhan;Aztrakhan;Aztrakhan;Aztrakhan;;Aztrakhan;;;;;;;;;x
k_aztrakhan_adj;Aztrakhanian;;aztrakhaner;;;;;;;;;;;x
k_azuli;Azuli;Azuli;Azuli;;Azuli;;;;;;;;;x
k_azuli_adj;Azulian;;azuler;;;;;;;;;;;x
k_badlands;Badlands;Badlands;Badlands;;Badlands;;;;;;;;;x
k_badlands_adj;Badlandsian;;badlandser;;;;;;;;;;;x
k_barak_varr;Barak Varr;Barak Varr;Barak Varr;;Barak Varr;;;;;;;;;x
k_barak_varr_adj;Barak Varrian;;Barak Varrer;;;;;;;;;;;x
k_bastonne;Bastonne;Bastonne;Bastonne;;Bastonne;;;;;;;;;x
k_bastonne_adj;Bastonnean;;bastonner;;;;;;;;;;;x
k_black_mountains;Black Mountains;Black Mountains;Black Mountains;;Black Mountains;;;;;;;;;x
k_black_mountains_adj;Black Mountainsian;;Black Mountainser;;;;;;;;;;;x
k_bordeleaux;Bordeleaux;Bordeleaux;Bordeleaux;;Bordeleaux;;;;;;;;;x
k_bordeleaux_adj;Bordeleauxian;;bordeleauxer;;;;;;;;;;;x
k_brionne;Brionne;Brionne;Brionne;;Brionne;;;;;;;;;x
k_brionne_adj;Brionnean;;brionner;;;;;;;;;;;x
k_calafina;Calafina;Calafina;Calafina;;Calafina;;;;;;;;;x
k_calafina_adj;Calafinan;;calafiner;;;;;;;;;;;x
k_cantonia;Cantonia;Cantonia;Cantonia;;Cantonia;;;;;;;;;x
k_cantonia_adj;Cantonian;;cantoner;;;;;;;;;;;x
k_carcassonne;Carcassonne;Carcassonne;Carcassonne;;Carcassonne;;;;;;;;;x
k_carcassonne_adj;Carcassonnean;;carcassonner;;;;;;;;;;;x
k_castillona;Castillona;Castillona;Castillona;;Castillona;;;;;;;;;x
k_castillona_adj;Castillonan;;castilloner;;;;;;;;;;;x
k_couronne;Couronne;Couronne;Couronne;;Couronne;;;;;;;;;x
k_couronne_adj;Couronnean;;couronner;;;;;;;;;;;x
k_dagorath;Dagorath;Dagorath;Dagorath;;Dagorath;;;;;;;;;x
k_dagorath_adj;Dagorathian;;dagorather;;;;;;;;;;;x
k_dawizag;Dawizag;Dawizag;Dawizag;;Dawizag;;;;;;;;;x
k_dawizag_adj;Dawizagian;;dawizager;;;;;;;;;;;x
k_ejsgard;Ejsgard;Ejsgard;Ejsgard;;Ejsgard;;;;;;;;;x
k_ejsgard_adj;Ejsgardian;;ejsgarder;;;;;;;;;;;x
k_ekrund;Ekrund;Ekrund;Ekrund;;Ekrund;;;;;;;;;x
k_ekrund_adj;Ekrundian;;ekrunder;;;;;;;;;;;x
k_everpeak;Everpeak;Everpeak;Everpeak;;Everpeak;;;;;;;;;x
k_everpeak_adj;Everpeakian;;everpeaker;;;;;;;;;;;x
k_fimbul;Fimbul;Fimbul;Fimbul;;Fimbul;;;;;;;;;x
k_fimbul_adj;Fimbulian;;fimbuler;;;;;;;;;;;x
k_fjellsende;Fjellsende;Fjellsende;Fjellsende;;Fjellsende;;;;;;;;;x
k_fjellsende_adj;Fjellsendean;;fjellsender;;;;;;;;;;;x
k_gisoreux;Gisoreux;Gisoreux;Gisoreux;;Gisoreux;;;;;;;;;x
k_gisoreux_adj;Gisoreuxian;;gisoreuxer;;;;;;;;;;;x
k_grey_mountains;Grey Mountains;Grey Mountains;Grey Mountains;;Grey Mountains;;;;;;;;;x
k_grey_mountains_adj;Grey Mountainsian;;Grey Mountainser;;;;;;;;;;;x
k_hochland;Hochland;Hochland;Hochland;;Hochland;;;;;;;;;x
k_hochland_adj;Hochlandian;;hochlander;;;;;;;;;;;x
k_kadrin_ankor;Kadrin Ankor;Kadrin Ankor;Kadrin Ankor;;Kadrin Ankor;;;;;;;;;x
k_kadrin_ankor_adj;Kadrin Ankorian;;Kadrin Ankorer;;;;;;;;;;;x
k_karak_dum;Karak Dum;Karak Dum;Karak Dum;;Karak Dum;;;;;;;;;x
k_karak_dum_adj;Karak Dumian;;Karak Dumer;;;;;;;;;;;x
k_kharakas;Kharakas;Kharakas;Kharakas;;Kharakas;;;;;;;;;x
k_kharakas_adj;Kharakasian;;kharakaser;;;;;;;;;;;x
k_khernarch;Khernarch;Khernarch;Khernarch;;Khernarch;;;;;;;;;x
k_khernarch_adj;Khernarchian;;khernarcher;;;;;;;;;;;x
k_kislev;Kislev;Kislev;Kislev;;Kislev;;;;;;;;;x
k_kislev_adj;Kislevian;;kislever;;;;;;;;;;;x
k_kraka_drak;Kraka Drak;Kraka Drak;Kraka Drak;;Kraka Drak;;;;;;;;;x
k_kraka_drak_adj;Kraka Drakian;;Kraka Draker;;;;;;;;;;;x
k_kura;Kura;Kura;Kura;;Kura;;;;;;;;;x
k_kura_adj;Kuran;;kurer;;;;;;;;;;;x
k_kurnugi;Kurnugi;Kurnugi;Kurnugi;;Kurnugi;;;;;;;;;x
k_kurnugi_adj;Kurnugian;;kurnuger;;;;;;;;;;;x
k_languille;L'Anguille;L'Anguille;L'Anguille;;L'Anguille;;;;;;;;;x
k_languille_adj;L'Anguillean;;l'anguiller;;;;;;;;;;;x
k_luccini;Luccini;Luccini;Luccini;;Luccini;;;;;;;;;x
k_luccini_adj;Luccinian;;lucciner;;;;;;;;;;;x
k_lyonesse;Lyonesse;Lyonesse;Lyonesse;;Lyonesse;;;;;;;;;x
