Comment;Province ID;Red;Green;Blue;Province Name;Empire;Kingdom;Duchy;Culture;Religion;Terrain;Climate;Holdings;Capital;Holding 2;Holding 3;Holding 4;Holding 5;Holding 6;Holding 7;;;;
;2287;24;24;79;Isle of the Dead;;;;;;;;0;;;;;;;;;;;
;2288;185;94;3;Turtle Isles;;;;;;;;0;;;;;;;;;;;
;2289;216;234;173;Anulii Mountains;;;;;;;;0;;;;;;;;;;;
;2290;216;179;64;Anulii Mountains;;;;;;;;0;;;;;;;;;;;
;2291;15;167;255;Mists of Gaen;;;;;;;;0;;;;;;;;;;;
;2292;43;87;73;Spine of Sotek;;;;;;;;0;;;;;;;;;;;
;2293;18;39;43;Great Jungle;;;;;;;;0;;;;;;;;;;;
;2294;194;176;231;Sahra Desert;;;;;;;;0;;;;;;;;;;;
;2295;194;176;0;Land of the Dead;;;;;;;;0;;;;;;;;;;;
;2296;85;90;201;Plateau of Leng;;;;;;;;0;;;;;;;;;;;
;2297;127;93;74;Blackspine Mountains;;;;;;;;0;;;;;;;;;;;
;2298;1;84;200;Grey Guardians;;;;;;;;0;;;;;;;;;;;
;2299;169;96;202;Mountains of Madness;;;;;;;;0;;;;;;;;;;;
;2300;44;84;8;Massif Oreal;;;;;;;;0;;;;;;;;;;;
;2301;0;229;25;Pale Sisters;;;;;;;;0;;;;;;;;;;;
;2302;84;0;26;Middle Mountains;;;;;;;;0;;;;;;;;;;;
;2303;126;48;34;Goromadny Mountains;;;;;;;;0;;;;;;;;;;;
;2304;84;45;161;Apucinni Mountains;;;;;;;;0;;;;;;;;;;;
;2305;85;39;231;Southlands;;;;;;;;0;;;;;;;;;;;
;2306;126;105;79;Vanaheim Mountains;;;;;;;;0;;;;;;;;;;;
;2307;42;99;78;Helspire Mountains;;;;;;;;0;;;;;;;;;;;
;2308;168;93;77;Frostheim Mountains;;;;;;;;0;;;;;;;;;;;
;2309;126;90;204;Mountains of Thjazi;;;;;;;;0;;;;;;;;;;;
;2310;0;204;67;Khuuitan Shelf;;;;;;;;0;;;;;;;;;;;
;2311;85;99;141;Ice Tooth Mountains;;;;;;;;0;;;;;;;;;;;
;2312;127;102;14;Mountains of Naglfari;;;;;;;;0;;;;;;;;;;;
;2313;169;105;142;Athel Loren;;;;;;;;0;;;;;;;;;;;
;2314;1;108;15;Ulfwerenar Mountains;;;;;;;;0;;;;;;;;;;;
;2315;43;111;143;Trollheim Mountains;;;;;;;;0;;;;;;;;;;;
;2316;85;114;16;Skadi Mountains;;;;;;;;0;;;;;;;;;;;
;2317;127;117;144;Mountains of Hel;;;;;;;;0;;;;;;;;;;;
;2318;169;120;17;Gianthome Mountains;;;;;;;;0;;;;;;;;;;;
;2319;1;123;147;Grey Mountains;;;;;;;;0;;;;;;;;;;;
;2320;43;126;18;Abasko Mountains;;;;;;;;0;;;;;;;;;;;
;2321;85;129;146;The Vaults;;;;;;;;0;;;;;;;;;;;
;2322;127;132;19;Black Mountains;;;;;;;;0;;;;;;;;;;;
;2323;169;135;147;Culchan Plains;;;;;;;;0;;;;;;;;;;;
;2324;1;138;20;Crater of Zharr;;;;;;;;0;;;;;;;;;;;
;2325;43;141;148;Icewind Mountains;;;;;;;;0;;;;;;;;;;;
;2326;85;144;21;Azgorh;;;;;;;;0;;;;;;;;;;;
;2327;127;147;149;Beast Peaks;;;;;;;;0;;;;;;;;;;;
;2328;169;150;22;Stormrim;;;;;;;;0;;;;;;;;;;;
;2329;1;153;150;Chaos Wastes;;;;;;;;0;;;;;;;;;;;
;2330;203;149;58;Bylorhof Marsh;;;;;;;;0;;;;;;;;;;;
;2331;85;159;151;Blighted Marshes;;;;;;;;0;;;;;;;;;;;
;2332;127;162;24;World's Edge Mountains;;;;;;;;0;;;;;;;;;;;
;2333;169;165;152;Irrana Mountains;;;;;;;;0;;;;;;;;;;;
;2334;1;168;25;Swamp of Terror;;;;;;;;0;;;;;;;;;;;
;2335;43;171;153;Cold Mire;;;;;;;;0;;;;;;;;;;;
;2336;169;3;222;The Frostbites;;;;;;;;0;;;;;;;;;;;
;2337;127;177;154;Mountains of Mourn;;;;;;;;0;;;;;;;;;;;
;2338;169;180;27;Plateau of K'Datha;;;;;;;;0;;;;;;;;;;;
;2339;1;183;155;Pillars of the Gods;;;;;;;;0;;;;;;;;;;;
;2340;43;186;28;Plateau of Zorn Uzkul;;;;;;;;0;;;;;;;;;;;
;2341;85;189;156;Jagged Spine;;;;;;;;0;;;;;;;;;;;
;2342;127;192;29;Gnoblar Country;;;;;;;;0;;;;;;;;;;;
;2343;128;0;199;Crevice of Doom;;;;;;;;0;;;;;;;;;;;
;2344;170;3;72;Scalding Delta;;;;;;;;0;;;;;;;;;;;
;2345;52;149;203;Southlands;;;;;;;;0;;;;;;;;;;;
;2346;173;216;240;Ironfrost Glacier;;;;;;;;0;;;;;;;;;;;
;2347;167;185;21;World's Edge Mountains;;;;;;;;0;;;;;;;;;;;
;2348;228;209;155;Black Forest;;;;;;;;0;;;;;;;;;;;
;2349;185;137;118;Crater of the Dead;;;;;;;;0;;;;;;;;;;;
;2416;228;106;15;Devil's Backbone Mountains;;;;;;;;0;;;;;;;;;;;
;2417;182;162;39;Aguidi Mountains;;;;;;;;0;;;;;;;;;;;
;2418;134;82;124;Adhrar Mountains;;;;;;;;0;;;;;;;;;;;
;2415;255;6;121;Isle of the Flame;;;;;;;;0;;;;;;;;;;;
;657;84;54;156;Myrmidens;;Aegos;Ionica;myken;myrmidian;;;4_6;Heraclaia (B);Myrmidens (C) { holy_site = myrmidian };Port Piratea (C);Thakos (T);Sophira;Clydastium;;;;;
;664;168;75;32;Achaes;;Aegos;Ionica;orc_main;greenskin_gods;;;3;Achaes (U);Kratus;Aleria;;;;;;;;
;661;42;66;158;Kasos;;Aegos;Ionica;myken;myrmidian;;;4;Kasos (B);Mesombria (B);Phocum;Rhodope;;;;;;;
